Division,Year,TotalGoals,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners,FTResult
BRA,2013,2.463157894736842,,,,,,,,,,,,,"{'H': 0.4842105263157895, 'D': 0.28421052631578947, 'A': 0.23157894736842105}"
BRA,2014,2.263157894736842,,,,,,,,,,,,,"{'H': 0.5184210526315789, 'D': 0.24210526315789474, 'A': 0.2394736842105263}"
BRA,2015,2.360526315789474,,,,,,,,,,,,,"{'H': 0.5263157894736842, 'D': 0.2394736842105263, 'A': 0.23421052631578948}"
BRA,2016,2.4063324538258577,,,,,,,,,,,,,"{'H': 0.5329815303430079, 'D': 0.24802110817941952, 'A': 0.21899736147757257}"
BRA,2017,2.4289473684210527,,,,,,,,,,,,,"{'H': 0.4394736842105263, 'A': 0.2894736842105263, 'D': 0.2710526315789474}"
BRA,2018,2.1763157894736844,,,,,,,,,,,,,"{'H': 0.531578947368421, 'D': 0.2894736842105263, 'A': 0.17894736842105263}"
BRA,2019,2.305263157894737,,,,,,,,,,,,,"{'H': 0.4842105263157895, 'D': 0.2578947368421053, 'A': 0.2578947368421053}"
BRA,2020,2.4402985074626864,,,,,,,,,,,,,"{'H': 0.43656716417910446, 'D': 0.291044776119403, 'A': 0.27238805970149255}"
BRA,2021,2.3008130081300813,,,,,,,,,,,,,"{'H': 0.4634146341463415, 'D': 0.29065040650406504, 'A': 0.2459349593495935}"
BRA,2022,2.3815789473684212,,,,,,,,,,,,,"{'H': 0.4421052631578947, 'D': 0.28421052631578947, 'A': 0.2736842105263158}"
BRA,2023,2.4894736842105263,,,,,,,,,,,,,"{'H': 0.46842105263157896, 'A': 0.2736842105263158, 'D': 0.2578947368421053}"
BRA,2024,2.4275862068965517,,,,,,,,,,,,,"{'H': 0.496551724137931, 'D': 0.25517241379310346, 'A': 0.2482758620689655}"
CHN,2014,2.745833333333333,,,,,,,,,,,,,"{'H': 0.4041666666666667, 'A': 0.3125, 'D': 0.2833333333333333}"
CHN,2015,2.8,,,,,,,,,,,,,"{'H': 0.42916666666666664, 'D': 0.2875, 'A': 0.2833333333333333}"
CHN,2016,2.6666666666666665,,,,,,,,,,,,,"{'H': 0.49583333333333335, 'D': 0.26666666666666666, 'A': 0.2375}"
CHN,2017,3.05,,,,,,,,,,,,,"{'H': 0.4791666666666667, 'A': 0.26666666666666666, 'D': 0.25416666666666665}"
CHN,2018,3.2,,,,,,,,,,,,,"{'H': 0.4875, 'A': 0.2833333333333333, 'D': 0.22916666666666666}"
CHN,2019,3.0875,,,,,,,,,,,,,"{'H': 0.49583333333333335, 'A': 0.2833333333333333, 'D': 0.22083333333333333}"
